BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460844.883429,0.98168,0.00214,1.0393,-0.26,0.49,10.70,5855
2460844.883661,0.97990,0.00213,1.0390,0.72,1.82,9.62,6963
2460844.883904,0.98329,0.00213,1.0387,0.85,1.10,9.37,7340
2460844.884136,0.98425,0.00214,1.0385,0.82,0.52,10.19,6166
2460844.884380,0.98041,0.00212,1.0382,1.21,0.76,9.72,6787
2460844.884612,0.98904,0.00214,1.0379,-0.24,1.84,9.74,6767
2460844.884843,0.98434,0.00213,1.0376,0.26,0.33,9.69,7374
2460844.885079,0.98187,0.00212,1.0374,0.81,-0.20,9.34,8309
2460844.885322,0.98450,0.00213,1.0371,0.70,1.83,9.76,7440
2460844.885554,0.98416,0.00213,1.0369,-0.72,1.42,9.63,7489
2460844.885798,0.98376,0.00213,1.0366,-0.27,0.26,9.19,7895
2460844.886033,0.98468,0.00215,1.0363,0.10,-1.14,9.79,6988
2460844.886265,0.98536,0.00214,1.0361,-1.18,-0.08,9.93,6202
2460844.886512,0.98340,0.00214,1.0358,-2.46,-1.30,10.71,5776
2460844.886756,0.98795,0.00216,1.0355,-1.49,-1.85,11.19,5024
2460844.886989,0.98504,0.00217,1.0353,1.29,0.89,10.85,5045
2460844.887234,0.98556,0.00219,1.0350,0.88,1.91,11.30,4160
2460844.887467,0.98750,0.00219,1.0348,-0.58,1.82,11.86,3956
2460844.887699,0.98334,0.00216,1.0345,0.87,0.44,11.18,4947
2460844.887943,0.98816,0.00217,1.0343,1.03,-0.71,11.14,4842
2460844.888174,0.99000,0.00217,1.0340,0.28,3.29,10.92,5245
2460844.888419,0.98543,0.00214,1.0338,0.25,-0.30,10.08,6395
2460844.888651,0.98558,0.00216,1.0335,0.71,0.34,10.69,4967
2460844.888894,0.98352,0.00216,1.0333,0.14,-0.67,11.09,4904
2460844.889131,0.98846,0.00218,1.0330,-2.14,2.49,10.56,4954
