BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460844.883389,0.98420,0.00132,1.0393,0.06,0.41,11.47,14850
2460844.883547,0.98431,0.00131,1.0392,0.21,2.05,10.79,16325
2460844.883704,0.98762,0.00132,1.0390,0.56,0.77,9.38,20402
2460844.883857,0.98760,0.00131,1.0388,0.96,0.89,9.54,18861
2460844.884011,0.98472,0.00131,1.0386,1.09,0.30,10.65,17315
2460844.884169,0.98685,0.00131,1.0384,0.53,0.39,10.35,16833
2460844.884326,0.98510,0.00131,1.0382,1.48,0.43,9.84,18892
2460844.884492,0.98425,0.00131,1.0381,0.00,1.32,10.80,16860
2460844.884642,0.98852,0.00132,1.0379,-0.33,1.62,10.05,17640
2460844.884800,0.98639,0.00131,1.0377,0.58,0.43,9.56,20762
2460844.884954,0.98544,0.00131,1.0375,-0.62,0.34,9.57,20515
2460844.885112,0.98452,0.00131,1.0373,1.00,-0.34,9.51,22829
2460844.885262,0.98695,0.00131,1.0372,0.09,1.23,9.50,22403
2460844.885420,0.98407,0.00131,1.0370,1.12,1.22,10.18,18922
2460844.885577,0.98635,0.00131,1.0368,-1.01,1.44,9.93,20262
2460844.885730,0.98664,0.00131,1.0367,0.21,0.66,9.91,19628
2460844.885890,0.98377,0.00131,1.0365,0.14,-0.51,9.68,20346
2460844.886043,0.98730,0.00131,1.0363,0.36,-1.25,9.62,19968
2460844.886201,0.98534,0.00131,1.0361,-2.11,0.47,10.14,17604
2460844.886359,0.98359,0.00131,1.0360,-0.70,-0.60,10.50,16370
2460844.886517,0.98669,0.00131,1.0358,-2.32,-1.46,11.37,15130
2460844.886671,0.98665,0.00132,1.0356,-3.11,-2.57,10.61,15461
2460844.886829,0.98615,0.00131,1.0355,0.74,-0.07,9.95,16316
2460844.886981,0.98240,0.00132,1.0353,1.39,0.20,11.21,12723
2460844.887139,0.98371,0.00131,1.0351,-0.13,2.45,10.21,14787
2460844.887294,0.98412,0.00132,1.0350,1.86,1.24,11.69,11361
