BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460844.883388,0.98498,0.00143,1.0393,-1.29,-0.42,11.26,10980
2460844.883539,0.98748,0.00143,1.0392,-1.23,1.37,10.78,11621
2460844.883701,0.99015,0.00144,1.0390,-0.69,0.16,9.10,14933
2460844.883852,0.98762,0.00143,1.0388,-0.40,0.30,9.25,13778
2460844.884015,0.98575,0.00143,1.0386,-0.39,-0.46,10.45,12111
2460844.884165,0.98511,0.00143,1.0384,-0.65,-0.33,10.38,12006
2460844.884328,0.98495,0.00143,1.0382,-0.12,-0.29,10.00,13256
2460844.884490,0.98699,0.00143,1.0381,-1.14,0.73,10.58,11343
2460844.884641,0.98581,0.00143,1.0379,-1.34,1.19,10.00,11905
2460844.884803,0.98573,0.00143,1.0377,-0.44,-0.20,9.60,14551
2460844.884957,0.98531,0.00143,1.0375,-1.69,-0.03,9.44,14443
2460844.885108,0.98541,0.00143,1.0373,-0.53,-1.09,9.68,15900
2460844.885258,0.98662,0.00143,1.0372,-1.16,0.65,9.40,15791
2460844.885421,0.98717,0.00143,1.0370,-0.24,0.46,9.84,13221
2460844.885571,0.98398,0.00143,1.0368,-2.42,0.76,9.90,13677
2460844.885722,0.98485,0.00143,1.0367,-1.14,0.03,10.02,13627
2460844.885877,0.98448,0.00143,1.0365,-1.35,-1.29,9.60,14799
2460844.886039,0.98833,0.00143,1.0363,-0.98,-2.02,9.41,14330
2460844.886201,0.98765,0.00143,1.0361,-3.51,-0.34,10.18,12148
2460844.886354,0.98774,0.00143,1.0360,-1.88,-1.02,10.13,12237
2460844.886506,0.98694,0.00144,1.0358,-3.53,-1.93,11.26,11067
2460844.886670,0.98781,0.00144,1.0356,-4.42,-3.29,10.07,10911
2460844.886821,0.98714,0.00143,1.0355,-0.74,-0.89,9.54,12526
2460844.886983,0.98708,0.00144,1.0353,0.17,-0.38,10.55,10172
2460844.887134,0.98531,0.00144,1.0351,-1.46,1.74,9.27,11582
2460844.887288,0.98357,0.00144,1.0350,0.52,0.44,10.59,8830
2460844.887450,0.98766,0.00145,1.0348,-2.36,1.02,12.30,7689
2460844.887612,0.98711,0.00145,1.0346,-0.59,0.17,12.32,7168
2460844.887774,0.98576,0.00143,1.0344,-1.28,-0.47,10.14,11210
2460844.887925,0.98445,0.00143,1.0343,-0.62,-1.83,10.22,10299
2460844.888088,0.98759,0.00144,1.0341,-0.27,1.60,11.09,9303
2460844.888239,0.98574,0.00143,1.0340,-1.72,2.01,11.01,10035
2460844.888390,0.98507,0.00143,1.0338,-1.11,-1.16,9.68,13109
2460844.888552,0.98602,0.00143,1.0336,-0.47,0.09,10.16,10336
2460844.888703,0.98754,0.00144,1.0335,-0.95,-1.59,10.86,9464
2460844.888854,0.98674,0.00144,1.0333,-1.03,-1.94,11.03,9665
2460844.889016,0.98598,0.00144,1.0332,-0.64,1.50,11.79,8074
2460844.889174,0.98700,0.00144,1.0330,-3.55,1.57,9.98,10228
2460844.889330,0.98590,0.00145,1.0328,0.25,-1.04,11.89,7548
2460844.889486,0.98428,0.00144,1.0327,-1.55,-0.29,12.01,7839
2460844.889639,0.98567,0.00144,1.0325,-0.53,-1.81,10.71,9941
2460844.889790,0.98801,0.00145,1.0324,-3.00,-2.52,11.26,8053
2460844.889953,0.98440,0.00145,1.0322,-3.98,-4.50,13.04,6332
2460844.890103,0.98989,0.00145,1.0321,-6.19,-1.64,10.84,8407
2460844.890266,0.98782,0.00145,1.0319,-3.20,-1.73,11.73,7969
2460844.890416,0.98536,0.00145,1.0318,0.40,-2.52,11.15,7950
2460844.890579,0.98855,0.00144,1.0316,-0.00,0.01,10.31,11171
2460844.890731,0.98625,0.00143,1.0315,-0.75,4.15,11.04,9967
2460844.890882,0.98476,0.00144,1.0313,-1.48,1.06,10.82,9385
2460844.891033,0.99067,0.00144,1.0312,0.80,0.28,11.13,8611
2460844.891195,0.98566,0.00146,1.0310,-0.59,0.72,13.89,5573
2460844.891346,0.98747,0.00144,1.0309,-1.36,-2.35,10.72,9308
2460844.891499,0.98775,0.00144,1.0307,-1.31,0.98,10.04,11086
2460844.891662,0.98613,0.00144,1.0306,-3.18,1.51,10.14,9827
2460844.891813,0.98354,0.00143,1.0304,0.53,-0.34,9.53,11685
2460844.891975,0.98378,0.00143,1.0303,1.34,-0.98,9.91,10696
2460844.892126,0.98536,0.00144,1.0301,-0.95,1.18,11.43,8575
2460844.892276,0.98607,0.00143,1.0300,-1.80,-0.87,9.88,10799
2460844.892440,0.98682,0.00143,1.0298,-0.35,1.47,9.36,13625
2460844.892593,0.98604,0.00143,1.0297,-2.46,0.18,10.61,9922
2460844.892744,0.98637,0.00144,1.0296,-2.11,-1.48,11.55,8595
2460844.892906,0.98765,0.00144,1.0294,0.91,0.86,11.33,9414
2460844.893057,0.99062,0.00146,1.0293,0.87,0.52,12.17,6651
