BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460844.883365,0.98613,0.00194,1.0394,-0.80,0.49,11.37,10273
2460844.883446,0.98826,0.00194,1.0393,-1.21,-0.41,11.20,10385
2460844.883528,0.99053,0.00195,1.0392,-0.36,1.74,10.98,10286
2460844.883620,0.98645,0.00194,1.0391,-0.61,2.01,9.81,12623
2460844.883702,0.98894,0.00194,1.0390,0.46,0.67,9.33,14528
2460844.883783,0.98788,0.00194,1.0389,-0.12,-0.45,11.52,9896
2460844.883864,0.98699,0.00193,1.0388,-0.31,0.66,9.66,12920
2460844.883957,0.98709,0.00193,1.0387,-0.65,0.06,10.09,11803
2460844.884061,0.98718,0.00194,1.0386,0.56,-0.55,10.66,10838
2460844.884142,0.98750,0.00193,1.0385,-0.35,0.23,11.96,10193
2460844.884223,0.98895,0.00193,1.0384,-1.07,0.34,9.86,12532
2460844.884316,0.98905,0.00193,1.0383,0.02,0.05,10.22,11795
2460844.884409,0.98889,0.00193,1.0382,-0.11,0.20,10.70,11861
2460844.884501,0.98866,0.00193,1.0381,-1.27,0.50,11.53,11774
2460844.884583,0.98971,0.00194,1.0380,-2.19,0.90,10.72,11007
2460844.884664,0.98788,0.00194,1.0379,-2.29,1.27,10.44,11714
2460844.884745,0.98897,0.00193,1.0378,-1.04,0.57,10.83,11193
2460844.884829,0.99066,0.00193,1.0377,-0.83,0.12,9.65,13930
2460844.884922,0.98844,0.00194,1.0376,-1.60,0.49,10.17,13120
2460844.885003,0.98554,0.00193,1.0375,-2.06,-0.78,10.34,13557
2460844.885084,0.98948,0.00193,1.0374,0.27,-0.18,9.59,16710
2460844.885166,0.98870,0.00193,1.0373,0.26,0.34,9.85,15636
2460844.885258,0.99133,0.00194,1.0372,-1.49,0.19,9.38,14739
2460844.885340,0.98492,0.00193,1.0371,0.81,2.74,10.25,14050
2460844.885421,0.98935,0.00194,1.0370,-0.05,0.97,10.58,11828
2460844.885514,0.98886,0.00194,1.0369,-1.41,0.78,10.95,12440
2460844.885595,0.98615,0.00193,1.0368,-2.66,1.67,10.30,14218
2460844.885676,0.98445,0.00192,1.0367,-2.48,-0.91,9.10,14189
2460844.885761,0.98703,0.00193,1.0366,-1.55,0.30,9.83,13164
2460844.885842,0.98291,0.00192,1.0365,-1.13,-0.85,9.36,14708
2460844.885935,0.98686,0.00193,1.0365,-1.45,-1.78,10.01,13999
2460844.886016,0.98809,0.00194,1.0364,-0.84,-1.10,9.83,13406
2460844.886097,0.98357,0.00194,1.0363,-0.22,-1.25,11.10,10017
2460844.886178,0.98687,0.00193,1.0362,-2.96,0.79,9.88,12084
2460844.886271,0.99046,0.00194,1.0361,-2.74,-0.56,10.78,10101
2460844.886354,0.98508,0.00193,1.0360,-0.97,-0.74,12.14,11017
2460844.886437,0.98381,0.00192,1.0359,-3.68,-0.85,9.87,12733
2460844.886518,0.98561,0.00194,1.0358,-4.59,-3.06,11.21,10079
2460844.886600,0.98961,0.00194,1.0357,-4.19,-2.22,10.57,10745
2460844.886693,0.98709,0.00194,1.0356,-4.68,-3.29,11.61,8901
2460844.886774,0.98456,0.00194,1.0355,-2.17,-2.92,10.93,9840
2460844.886856,0.98762,0.00194,1.0354,1.11,0.36,10.55,10801
2460844.886948,0.98686,0.00195,1.0353,0.50,0.93,11.94,8766
2460844.887030,0.98342,0.00194,1.0353,0.36,0.24,10.41,9887
2460844.887111,0.98567,0.00194,1.0352,-2.29,0.92,10.41,11408
2460844.887194,0.98825,0.00196,1.0351,-1.15,2.66,10.12,9214
2460844.887276,0.98376,0.00196,1.0350,-0.54,0.61,11.55,7112
2460844.887357,0.99037,0.00197,1.0349,1.34,1.78,11.79,6773
2460844.887450,0.98326,0.00195,1.0348,-2.46,1.81,12.51,6558
2460844.887531,0.98809,0.00195,1.0347,-1.28,0.98,10.42,9554
2460844.887612,0.98834,0.00196,1.0346,-0.48,0.65,13.56,6068
2460844.887693,0.98603,0.00194,1.0345,0.82,0.56,11.17,8601
2460844.887786,0.98844,0.00194,1.0344,-0.04,0.50,10.09,10462
2460844.887867,0.98807,0.00194,1.0344,0.08,-1.20,11.57,8515
2460844.887960,0.98524,0.00193,1.0343,-0.26,-1.49,11.40,9890
2460844.888041,0.97973,0.00194,1.0342,-0.28,-0.69,12.97,8454
2460844.888124,0.99039,0.00195,1.0341,-0.82,2.12,11.47,8825
2460844.888216,0.98547,0.00193,1.0340,-1.43,2.42,11.04,9591
2460844.888297,0.98546,0.00192,1.0339,-1.18,1.98,10.65,11062
2460844.888379,0.99017,0.00194,1.0338,-1.34,-0.27,10.74,11189
2460844.888471,0.99149,0.00194,1.0337,-0.76,-1.84,9.94,12784
2460844.888552,0.98848,0.00194,1.0336,-0.42,0.35,10.90,9042
2460844.888634,0.98959,0.00194,1.0335,-0.24,0.23,10.83,8919
2460844.888726,0.98709,0.00194,1.0335,-1.18,-1.12,12.70,7381
2460844.888808,0.98712,0.00195,1.0334,0.34,-3.14,12.07,6811
2460844.888900,0.98894,0.00195,1.0333,0.16,-0.82,11.02,9413
2460844.888993,0.99066,0.00194,1.0332,-1.64,0.86,11.46,8889
2460844.889079,0.98775,0.00195,1.0331,-3.82,0.94,12.40,8081
2460844.889174,0.98462,0.00194,1.0330,-2.84,1.33,9.54,11325
2460844.889249,0.99115,0.00196,1.0329,-2.12,0.27,10.61,9595
2460844.889330,0.98616,0.00196,1.0329,0.23,-2.06,11.03,7138
2460844.889424,0.99062,0.00195,1.0328,-1.02,1.17,10.23,8788
2460844.889498,0.98750,0.00194,1.0327,-0.49,0.95,13.65,6964
2460844.889581,0.98529,0.00194,1.0326,0.34,-1.30,11.95,7848
2460844.889674,0.98196,0.00193,1.0325,-1.20,-2.11,11.91,9392
2460844.889755,0.98485,0.00194,1.0324,-2.60,-0.50,10.71,8473
2460844.889918,0.99113,0.00197,1.0323,-1.87,-2.17,11.30,6852
2460844.890011,0.98369,0.00195,1.0322,-3.30,-4.30,12.84,6396
2460844.890092,0.98994,0.00197,1.0321,-6.38,-0.81,12.86,5750
2460844.890196,0.98828,0.00193,1.0320,-3.00,-2.20,9.84,10010
2460844.890277,0.98720,0.00196,1.0319,-4.22,-0.74,13.72,5765
2460844.890358,0.98922,0.00195,1.0318,0.38,-1.71,10.75,9085
2460844.890439,0.98644,0.00196,1.0317,0.14,-2.62,11.16,7206
2460844.890532,0.98776,0.00195,1.0317,-0.52,-0.45,12.92,7003
2460844.890613,0.98919,0.00194,1.0316,-0.09,0.64,10.57,10410
2460844.890697,0.98846,0.00194,1.0315,-1.65,3.91,11.11,10557
2460844.890859,0.98496,0.00193,1.0313,-1.11,1.80,10.08,10934
2460844.890952,0.99016,0.00195,1.0313,-0.12,1.54,12.04,7851
2460844.891033,0.99391,0.00196,1.0312,-0.04,1.62,12.31,8524
2460844.891114,0.98623,0.00194,1.0311,1.51,-0.65,10.27,10767
2460844.891288,0.98808,0.00195,1.0309,0.99,-0.22,11.30,7399
2460844.891369,0.98794,0.00195,1.0309,-0.99,-1.99,10.93,8682
2460844.891462,0.98681,0.00194,1.0308,-1.34,-0.13,10.93,8871
2460844.891546,0.99028,0.00194,1.0307,-1.74,1.49,9.48,11150
2460844.891627,0.98833,0.00194,1.0306,-0.71,2.26,9.97,10156
2460844.891708,0.99076,0.00195,1.0305,-3.53,0.04,10.91,8406
2460844.891801,0.98642,0.00194,1.0305,-0.20,-0.87,9.98,12214
2460844.891882,0.98600,0.00194,1.0304,2.62,0.34,11.00,7999
2460844.891963,0.98651,0.00194,1.0303,2.11,-0.25,10.34,9205
2460844.892044,0.98810,0.00195,1.0302,1.55,0.08,12.05,8047
2460844.892137,0.98767,0.00195,1.0301,-0.41,2.79,11.41,9118
2460844.892218,0.98606,0.00193,1.0301,-2.10,-1.60,11.28,8947
2460844.892299,0.99215,0.00194,1.0300,-2.04,-0.92,10.35,9929
2460844.892382,0.98700,0.00193,1.0299,-1.68,-1.33,9.39,11234
2460844.892463,0.98969,0.00194,1.0298,-0.47,1.71,8.62,13695
2460844.892558,0.98982,0.00194,1.0297,-3.87,0.94,12.27,8593
2460844.892640,0.98580,0.00194,1.0297,-0.86,0.72,12.74,7778
2460844.892721,0.99205,0.00197,1.0296,-1.52,-0.60,13.14,6070
2460844.892814,0.98525,0.00193,1.0295,-3.05,-1.49,11.59,9637
2460844.892895,0.98425,0.00194,1.0294,-0.51,0.05,9.99,10266
2460844.892976,0.99033,0.00195,1.0294,5.54,1.16,12.19,7111
2460844.893057,0.98696,0.00196,1.0293,1.62,0.66,11.81,6479
2460844.893231,0.99247,0.00197,1.0291,-3.21,-1.76,12.55,6175
2460844.893312,0.98873,0.00198,1.0291,-4.75,-0.95,11.17,6643
2460844.893405,0.99186,0.00197,1.0290,-3.94,-3.90,11.68,7068
2460844.893486,0.98746,0.00195,1.0289,-1.87,-3.76,11.17,7371
2460844.893567,0.98784,0.00196,1.0288,-4.33,-2.28,12.86,7100
2460844.893648,0.98943,0.00195,1.0288,-3.04,0.57,11.28,7475
2460844.893753,0.98811,0.00194,1.0287,-3.77,0.41,10.31,9698
2460844.893834,0.98555,0.00194,1.0286,0.26,0.39,10.78,9508
2460844.893926,0.98581,0.00193,1.0285,0.13,0.63,11.12,9225
2460844.894008,0.99183,0.00195,1.0284,-0.44,1.24,10.67,8711
2460844.894170,0.98849,0.00198,1.0283,0.66,1.09,12.63,5847
2460844.894264,0.98866,0.00197,1.0282,-1.22,-0.87,12.74,6106
2460844.894345,0.98840,0.00197,1.0281,-0.45,1.16,13.72,5041
2460844.894430,0.98942,0.00194,1.0281,-0.56,-0.55,10.81,9242
2460844.894523,0.98920,0.00196,1.0280,-0.34,2.81,12.78,6507
2460844.894604,0.98335,0.00196,1.0279,-0.93,0.65,13.05,6424
2460844.894685,0.98697,0.00195,1.0279,-0.50,-0.98,11.95,7120
2460844.894766,0.98846,0.00194,1.0278,-0.19,-1.96,10.08,10304
2460844.894848,0.98989,0.00194,1.0277,0.06,-0.15,12.90,7317
2460844.894940,0.98714,0.00194,1.0276,-0.80,0.69,9.84,10487
2460844.895021,0.98692,0.00192,1.0276,-0.63,0.26,10.73,10772
2460844.895103,0.98756,0.00193,1.0275,-0.69,0.15,10.06,10801
2460844.895184,0.98974,0.00194,1.0274,-1.16,0.93,10.01,11511
2460844.895277,0.98814,0.00195,1.0274,-2.69,0.07,11.43,8596
2460844.895358,0.98634,0.00196,1.0273,-0.09,-0.37,11.52,7793
2460844.895446,0.98478,0.00196,1.0272,-0.78,2.23,12.05,6619
2460844.895527,0.99106,0.00194,1.0271,1.95,-0.39,9.59,11122
2460844.895608,0.98567,0.00193,1.0271,1.10,-0.12,14.65,8188
2460844.895690,0.98728,0.00194,1.0270,-2.52,-1.83,12.18,9787
2460844.895782,0.98551,0.00192,1.0269,-1.93,-1.52,10.62,10953
2460844.895863,0.99458,0.00194,1.0269,-3.71,0.14,11.65,8680
2460844.895956,0.98692,0.00193,1.0268,-1.17,0.39,10.73,9351
2460844.896037,0.98627,0.00195,1.0267,0.54,0.53,11.20,8263
2460844.896118,0.99251,0.00195,1.0267,-0.73,1.58,11.12,8495
2460844.896200,0.99041,0.00194,1.0266,0.89,0.23,10.99,8499
2460844.896292,0.98555,0.00193,1.0265,-1.11,-0.40,12.10,7003
2460844.896375,0.98409,0.00194,1.0265,-1.98,0.82,10.90,9372
2460844.896456,0.98819,0.00197,1.0264,-1.55,4.52,12.55,6538
2460844.896618,0.99107,0.00198,1.0263,-2.65,-3.38,10.60,8124
2460844.896711,0.98835,0.00196,1.0262,-2.66,-2.46,11.94,7285
2460844.896872,0.99016,0.00194,1.0260,0.15,-1.66,10.23,9152
2460844.897046,0.98911,0.00194,1.0259,-2.41,-1.31,11.12,9072
2460844.897127,0.99125,0.00193,1.0258,-3.52,1.31,10.83,9798
