BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460422.896521,1.00152,0.00156,1.6950,0.78,-0.12,24.36,22437
2460422.896730,0.99666,0.00155,1.6928,2.14,-0.51,24.54,21486
2460422.896950,0.99929,0.00155,1.6905,1.38,-1.01,24.42,22718
2460422.897159,0.99727,0.00155,1.6883,1.50,-0.62,23.90,22384
2460422.897367,1.00053,0.00155,1.6860,1.71,-1.10,24.40,20632
2460422.897576,0.99805,0.00154,1.6838,1.83,-0.58,23.48,23094
2460422.897796,0.99713,0.00154,1.6814,2.13,-1.74,24.42,22381
2460422.898016,0.99661,0.00153,1.6792,1.22,-0.84,23.06,27015
2460422.898225,0.99832,0.00153,1.6769,0.11,-0.61,24.19,24511
2460422.898445,0.99623,0.00153,1.6746,-0.39,-1.47,24.23,21938
2460422.898666,0.99971,0.00153,1.6724,-0.66,0.31,24.13,23182
2460422.898874,0.99944,0.00153,1.6702,0.55,-1.32,24.72,21448
2460422.899129,1.00050,0.00153,1.6676,1.20,0.03,24.16,23778
2460422.899350,1.00067,0.00152,1.6653,1.19,-0.49,23.93,24250
2460422.899558,0.99881,0.00152,1.6632,1.56,-0.91,24.39,20670
2460422.899778,0.99823,0.00151,1.6609,1.26,-0.66,25.37,20033
2460422.899987,0.99830,0.00151,1.6587,1.52,0.02,24.18,25178
2460422.900207,0.99549,0.00150,1.6565,1.14,-0.70,24.45,22799
2460422.900416,0.99715,0.00150,1.6544,2.43,-0.52,24.20,24547
2460422.900625,0.99791,0.00150,1.6523,2.11,-1.49,24.26,23186
2460422.900833,1.00083,0.00150,1.6502,2.00,0.08,24.79,26000
2460422.901042,0.99910,0.00150,1.6481,0.96,0.55,24.11,24734
2460422.901251,0.99684,0.00149,1.6460,0.54,0.40,24.16,23906
2460422.901459,0.99699,0.00149,1.6439,1.21,1.90,26.25,17789
2460422.901668,0.99683,0.00148,1.6418,-0.39,-1.14,24.64,21810
2460422.901877,0.99999,0.00149,1.6397,0.37,-0.33,25.42,19612
2460422.902097,1.00092,0.00149,1.6376,1.59,1.72,26.04,17933
2460422.902306,0.99921,0.00148,1.6355,1.06,0.49,24.92,21696
2460422.902526,0.99783,0.00148,1.6334,1.80,0.13,24.22,23486
2460422.902734,0.99824,0.00147,1.6313,2.40,-0.44,24.21,22363
2460422.902955,0.99504,0.00146,1.6292,1.46,-0.76,24.21,22526
2460422.903175,0.99709,0.00147,1.6270,2.25,-1.90,24.89,21935
2460422.903384,1.00065,0.00147,1.6250,2.98,-1.86,24.93,19452
2460422.903604,0.99854,0.00146,1.6229,1.15,0.22,25.04,19477
2460422.903813,0.99867,0.00146,1.6208,0.29,0.36,24.28,21810
2460422.904068,0.99996,0.00146,1.6184,0.51,-1.20,25.34,20274
2460422.904265,0.99941,0.00146,1.6165,0.30,-0.05,24.47,19669
2460422.904485,0.99728,0.00145,1.6145,0.15,-1.28,24.23,20384
2460422.904705,0.99614,0.00145,1.6123,1.22,0.41,24.18,22404
2460422.904914,0.99896,0.00145,1.6104,0.52,-0.81,24.29,22922
2460422.905122,0.99793,0.00144,1.6084,2.46,0.00,24.10,25317
2460422.905343,0.99759,0.00144,1.6063,2.49,-2.50,25.51,19076
2460422.905551,0.99755,0.00144,1.6044,2.02,-1.42,25.40,20005
2460422.905748,1.00144,0.00144,1.6024,1.51,-1.95,24.94,17896
2460422.905957,0.99801,0.00144,1.6005,1.07,-2.55,24.25,20597
2460422.906177,1.00129,0.00144,1.5985,2.65,-1.18,24.85,19867
2460422.906421,0.99751,0.00143,1.5962,-0.20,-0.14,23.92,21558
2460422.906641,0.99957,0.00143,1.5941,0.15,-0.77,24.17,24028
2460422.906861,1.00084,0.00143,1.5922,0.20,-1.01,25.83,19365
2460422.907070,0.99868,0.00142,1.5902,-1.18,-0.47,25.56,18909
2460422.907279,0.99295,0.00141,1.5883,0.48,0.22,25.98,18457
2460422.907487,0.99639,0.00141,1.5864,-0.67,-1.73,24.33,21059
2460422.907708,1.00111,0.00142,1.5844,2.23,-0.71,24.76,22747
2460422.907963,0.99719,0.00141,1.5821,1.83,-0.83,24.26,24791
2460422.908171,0.99747,0.00141,1.5802,1.48,-0.51,24.02,24590
2460422.908403,0.99864,0.00141,1.5781,1.64,-0.53,24.60,24457
2460422.908635,1.00126,0.00141,1.5761,2.01,-1.07,23.93,25361
2460422.908867,1.00045,0.00140,1.5739,1.42,-1.19,24.03,23819
2460422.909075,0.99989,0.00140,1.5721,1.71,-0.40,24.30,22275
2460422.909307,0.99705,0.00139,1.5700,0.44,0.91,23.77,24277
2460422.909516,1.00013,0.00140,1.5682,-0.19,-1.22,24.53,22386
2460422.909725,0.99812,0.00139,1.5663,-1.63,0.98,24.51,21654
2460422.909933,0.99908,0.00139,1.5645,1.70,0.10,25.25,21687
2460422.910154,0.99734,0.00138,1.5626,0.07,-0.45,24.35,22659
2460422.910397,0.99770,0.00138,1.5604,2.02,0.16,23.56,25813
2460422.910606,1.00001,0.00138,1.5586,1.29,-0.67,24.25,24614
2460422.910838,1.00183,0.00139,1.5566,1.89,-0.62,24.68,21077
2460422.911047,1.00116,0.00138,1.5547,1.16,0.46,24.07,23287
2460422.911268,0.99964,0.00138,1.5529,1.17,-0.69,24.82,22758
2460422.911476,1.00064,0.00138,1.5511,0.82,-1.51,23.73,23996
2460422.911674,0.99674,0.00137,1.5493,2.13,-0.39,23.39,27319
2460422.911894,0.99842,0.00137,1.5475,1.68,-0.28,23.49,25082
2460422.912114,1.00017,0.00137,1.5456,-0.07,-0.40,23.71,26419
2460422.912346,1.00022,0.00137,1.5436,1.12,0.56,23.64,27556
2460422.912555,0.99830,0.00136,1.5418,-0.87,-0.41,24.18,24181
2460422.912776,0.99857,0.00136,1.5400,-0.38,-0.36,23.78,24402
2460422.912984,1.00014,0.00136,1.5383,0.10,-0.47,23.71,23750
2460422.913182,1.00161,0.00136,1.5365,0.00,-1.07,23.50,25303
2460422.913402,1.00222,0.00136,1.5347,1.53,-0.67,23.71,25371
2460422.913611,0.99945,0.00135,1.5330,-0.29,-1.48,27.43,24917
2460422.913843,0.99950,0.00135,1.5311,1.96,-0.25,23.66,24940
2460422.914052,0.99984,0.00135,1.5292,1.64,0.22,23.55,25315
2460422.914295,1.00025,0.00135,1.5273,1.83,-1.22,23.88,22979
2460422.914504,1.00131,0.00135,1.5256,0.97,-1.62,23.03,24949
2460422.914701,0.99899,0.00134,1.5239,0.85,-1.07,24.35,24700
2460422.914910,0.99840,0.00134,1.5222,1.68,-0.97,23.85,24955
2460422.915119,0.99765,0.00134,1.5205,-1.05,-0.59,23.90,24954
2460422.915328,1.00250,0.00134,1.5188,-2.47,-0.44,26.50,27113
2460422.915537,0.99808,0.00133,1.5171,-0.83,-1.05,23.56,23069
2460422.915769,1.00088,0.00134,1.5153,1.79,-0.01,24.88,21265
2460422.915966,1.00072,0.00133,1.5136,0.26,-0.92,23.91,25295
2460422.916187,1.00092,0.00133,1.5119,1.53,0.48,23.80,25338
2460422.916396,0.99861,0.00133,1.5102,1.57,-0.11,24.21,24257
2460422.916604,0.99664,0.00132,1.5085,1.05,-0.01,23.86,25418
2460422.916825,0.99814,0.00132,1.5068,2.32,-0.90,23.44,26651
2460422.917022,0.99765,0.00132,1.5051,1.79,-0.68,23.51,25467
2460422.917230,0.99914,0.00132,1.5035,1.15,-0.88,23.51,25130
2460422.917439,1.00086,0.00132,1.5018,1.15,-0.00,23.87,24145
2460422.917659,1.00049,0.00131,1.5001,1.21,1.27,24.60,22790
2460422.917868,0.99943,0.00131,1.4985,-1.01,-0.19,23.90,23988
2460422.918076,0.99998,0.00131,1.4968,-2.06,0.23,24.45,22781
2460422.918298,1.00310,0.00131,1.4952,-1.02,0.03,24.64,22861
2460422.918506,0.99909,0.00131,1.4935,-0.23,0.24,24.11,23296
2460422.918715,0.99822,0.00130,1.4919,2.10,0.84,23.77,25042
2460422.918924,0.99560,0.00130,1.4902,-0.06,0.06,24.41,22295
2460422.919144,0.99842,0.00130,1.4885,2.69,-0.58,24.04,22956
2460422.919353,0.99827,0.00130,1.4870,2.22,-0.38,26.61,16448
2460422.919562,1.00036,0.00130,1.4854,0.14,-0.29,24.95,21330
2460422.919770,0.99892,0.00129,1.4838,2.05,-0.81,24.96,20208
2460422.919991,0.99939,0.00129,1.4821,2.83,-1.12,24.24,24338
2460422.920222,1.00095,0.00129,1.4803,3.21,-0.72,23.54,25103
2460422.920443,0.99999,0.00129,1.4787,0.54,-0.19,23.77,26394
2460422.920686,0.99693,0.00128,1.4768,-0.08,0.32,24.45,21531
2460422.920930,0.99741,0.00128,1.4750,-0.29,-0.67,24.77,20369
2460422.921150,0.99650,0.00128,1.4733,-1.99,1.24,23.09,24916
2460422.921359,1.00069,0.00128,1.4717,0.45,-0.63,24.75,20827
2460422.921579,0.99832,0.00128,1.4701,-0.63,-0.03,23.90,25312
2460422.921788,1.00151,0.00128,1.4686,3.01,0.96,24.16,23851
2460422.921996,0.99932,0.00127,1.4670,1.57,-0.16,24.30,22550
2460422.922228,0.99952,0.00127,1.4652,0.69,-1.05,23.69,24410
2460422.922448,0.99757,0.00127,1.4636,1.98,-0.65,23.43,26260
2460422.922669,0.99826,0.00127,1.4620,2.12,-1.71,24.64,23704
2460422.922889,0.99895,0.00127,1.4604,2.91,-1.89,23.83,22417
2460422.923109,0.99939,0.00126,1.4588,1.08,0.21,23.93,23833
2460422.923329,0.99589,0.00126,1.4572,0.68,0.26,23.48,25770
2460422.923538,0.99694,0.00126,1.4557,0.66,0.11,23.94,25414
2460422.923758,1.00250,0.00126,1.4541,-1.45,-0.06,23.68,24016
2460422.923967,0.99769,0.00125,1.4526,0.56,-1.16,23.36,24989
2460422.924199,0.99747,0.00125,1.4509,0.14,0.42,23.61,23618
2460422.924419,1.00106,0.00126,1.4493,0.80,0.13,24.34,19627
2460422.924651,1.00067,0.00125,1.4477,0.43,1.64,25.48,18487
2460422.924871,0.99748,0.00125,1.4461,0.97,-0.62,23.88,23960
2460422.925080,1.00016,0.00125,1.4446,1.14,-2.10,24.39,21968
2460422.925288,0.99943,0.00125,1.4431,1.62,1.01,23.84,24832
2460422.925497,0.99910,0.00124,1.4417,3.43,-0.71,24.23,22982
2460422.925740,0.99822,0.00124,1.4399,4.88,-2.33,25.45,20698
2460422.925972,0.99936,0.00124,1.4383,1.49,-0.90,23.97,24590
2460422.926204,0.99738,0.00124,1.4366,0.12,-0.00,24.34,24188
2460422.926424,0.99813,0.00124,1.4352,0.77,-0.43,26.16,16621
2460422.926656,0.99945,0.00124,1.4335,-0.91,-0.16,25.86,18962
2460422.926865,1.00216,0.00124,1.4321,0.29,-0.25,23.89,23116
2460422.927073,0.99614,0.00123,1.4306,0.73,-0.61,24.43,20211
2460422.927328,0.99931,0.00123,1.4289,-1.67,2.08,24.67,22016
2460422.927549,0.99749,0.00123,1.4274,0.41,0.36,24.95,22271
2460422.927757,0.99471,0.00122,1.4259,0.74,-0.54,23.52,23909
2460422.927966,0.99832,0.00122,1.4245,2.10,-0.74,23.54,25237
