BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460422.896507,1.00040,0.00181,1.6953,-0.87,0.06,22.36,24057
2460422.896669,0.99831,0.00181,1.6935,0.27,0.35,22.66,22784
2460422.896832,1.00386,0.00181,1.6918,0.17,-0.51,22.11,24975
2460422.897015,1.00081,0.00181,1.6898,0.31,-0.15,21.51,28365
2460422.897170,0.99647,0.00180,1.6882,0.76,0.71,22.05,25620
2460422.897341,0.99704,0.00179,1.6864,0.60,-0.34,22.26,23767
2460422.897511,0.99584,0.00179,1.6845,-0.09,-0.14,22.29,24042
2460422.897711,0.99453,0.00178,1.6824,0.12,-0.45,22.20,31731
2460422.897880,0.99764,0.00178,1.6806,0.02,0.20,21.85,29551
2460422.898049,0.99496,0.00178,1.6789,-0.80,0.47,21.99,31271
2460422.898212,1.00062,0.00178,1.6771,-1.77,0.58,22.09,28786
2460422.898369,0.99838,0.00178,1.6755,-2.15,-0.33,21.45,30346
2460422.898530,0.99783,0.00178,1.6738,-2.31,-0.29,23.00,27582
2460422.898706,1.00063,0.00178,1.6720,-2.29,1.09,22.30,29835
2460422.898862,0.99902,0.00177,1.6704,-1.08,-0.32,21.87,24419
2460422.899027,1.00090,0.00177,1.6687,-0.57,0.49,21.68,31902
2460422.899189,0.99949,0.00177,1.6670,-1.41,1.00,21.75,29218
2460422.899351,0.99848,0.00176,1.6653,-0.86,0.56,21.98,29453
2460422.899514,1.00236,0.00177,1.6637,0.48,0.00,22.23,26523
2460422.899675,1.00006,0.00176,1.6620,0.29,1.01,22.01,30899
2460422.899843,1.00105,0.00176,1.6603,0.38,0.25,22.44,24808
2460422.900007,0.99779,0.00175,1.6586,0.37,0.17,22.08,31179
2460422.900179,0.99701,0.00175,1.6569,-0.52,0.61,22.60,25969
2460422.900373,0.99587,0.00174,1.6549,1.00,0.49,21.43,29520
2460422.900536,0.99515,0.00174,1.6532,1.26,-1.35,22.39,22078
2460422.900700,0.99792,0.00174,1.6515,1.08,-0.53,22.31,32322
2460422.900863,1.00138,0.00174,1.6499,0.38,0.30,21.82,30735
2460422.901025,1.00034,0.00174,1.6483,-0.70,0.59,22.05,29134
2460422.901190,0.99565,0.00173,1.6467,-1.18,0.79,22.50,27630
2460422.901352,1.00291,0.00174,1.6450,-1.05,1.09,22.94,21353
2460422.901522,1.00049,0.00173,1.6433,-1.40,0.57,22.78,23310
2460422.901678,0.99691,0.00172,1.6418,-1.39,-0.04,22.42,24943
2460422.901847,0.99832,0.00172,1.6401,-0.64,0.92,23.04,24447
2460422.902023,1.00213,0.00172,1.6384,-0.75,0.86,22.29,21041
2460422.902187,0.99756,0.00171,1.6367,-0.33,1.19,23.36,20306
2460422.902365,0.99962,0.00171,1.6350,-0.47,0.25,22.04,27215
2460422.902529,0.99700,0.00171,1.6334,0.10,0.28,22.06,27516
2460422.902693,0.99900,0.00171,1.6318,0.38,0.12,22.66,23208
2460422.902848,0.99653,0.00170,1.6302,0.77,0.50,23.02,20577
2460422.903028,0.99783,0.00170,1.6285,-1.14,-0.99,21.99,25610
2460422.903190,0.99666,0.00170,1.6269,1.47,-0.74,22.52,24641
2460422.903353,1.00059,0.00170,1.6254,1.82,-0.27,22.46,23600
2460422.903515,1.00088,0.00170,1.6238,0.48,-1.59,23.56,19126
2460422.903692,0.99894,0.00169,1.6221,-0.28,1.79,21.60,26605
2460422.903862,1.00464,0.00170,1.6204,-0.94,0.54,22.68,23723
2460422.904041,0.99846,0.00169,1.6187,-1.16,-1.38,22.25,24681
2460422.904204,0.99706,0.00168,1.6171,-1.47,0.53,22.78,21766
2460422.904381,0.99756,0.00168,1.6155,-1.54,0.18,23.51,20057
2460422.904536,0.99922,0.00168,1.6139,-0.62,-0.70,22.32,23582
2460422.904707,0.99596,0.00167,1.6123,-1.02,1.41,22.61,25361
2460422.904878,1.00176,0.00168,1.6107,-1.23,0.05,22.23,25473
2460422.905033,0.99729,0.00167,1.6092,-0.08,0.62,22.03,28227
2460422.905198,0.99545,0.00166,1.6077,0.71,-0.01,22.09,27330
2460422.905382,0.99598,0.00166,1.6060,0.73,-1.01,22.84,19662
2460422.905537,0.99668,0.00166,1.6045,1.00,-0.06,22.89,21995
2460422.905722,1.00031,0.00167,1.6028,-0.25,-1.07,23.45,18617
2460422.905885,0.99521,0.00166,1.6012,-0.03,-1.31,22.95,21661
2460422.906047,1.00051,0.00166,1.5997,0.51,-1.52,22.70,26466
2460422.906209,1.00123,0.00166,1.5982,1.22,-0.82,22.32,20965
2460422.906402,0.99855,0.00165,1.5964,-0.83,0.93,21.91,24375
2460422.906565,0.99851,0.00165,1.5949,-1.32,-0.32,20.84,36639
2460422.906721,1.00141,0.00165,1.5935,-1.05,-0.15,22.05,26522
2460422.906899,1.00177,0.00165,1.5918,-2.66,-0.61,23.17,20024
2460422.907067,0.99908,0.00164,1.5903,-2.53,0.53,24.22,17071
2460422.907259,0.99300,0.00163,1.5885,-2.38,0.58,23.30,24339
2460422.907429,0.99961,0.00164,1.5870,-0.93,0.25,23.69,19105
2460422.907591,0.99622,0.00163,1.5855,-0.16,-0.15,22.21,27715
2460422.907754,1.00143,0.00164,1.5840,0.32,0.38,21.99,28897
2460422.907944,0.99779,0.00163,1.5823,0.28,0.07,22.69,28336
2460422.908113,0.99978,0.00163,1.5808,-0.34,-0.09,22.80,24730
2460422.908269,0.99672,0.00162,1.5794,0.17,0.54,21.79,31005
2460422.908432,0.99906,0.00162,1.5779,0.35,-0.49,22.49,27444
2460422.908610,1.00227,0.00163,1.5763,0.40,-0.06,21.97,27959
2460422.908773,1.00076,0.00162,1.5748,0.17,0.25,21.91,29092
2460422.908942,0.99802,0.00161,1.5733,0.10,0.01,22.15,28450
2460422.909118,0.99912,0.00161,1.5717,0.73,0.78,21.85,28300
2460422.909288,0.99690,0.00161,1.5702,-0.58,2.29,21.67,29559
2460422.909458,1.00089,0.00161,1.5687,-0.95,-0.38,21.59,31663
2460422.909628,0.99846,0.00161,1.5672,-1.88,-0.11,22.23,29156
2460422.909791,0.99807,0.00160,1.5657,-3.42,1.69,21.98,25441
2460422.909960,0.99716,0.00160,1.5643,-0.22,0.30,21.82,25209
2460422.910131,0.99676,0.00160,1.5628,-1.79,0.49,22.11,26364
2460422.910309,0.99803,0.00160,1.5612,2.00,0.61,21.73,31044
2460422.910488,1.00116,0.00160,1.5597,-0.16,-0.32,22.11,29018
2460422.910650,0.99989,0.00160,1.5582,0.50,0.39,21.91,30990
2460422.910829,1.00092,0.00160,1.5567,0.61,0.22,22.43,23733
2460422.910993,0.99923,0.00159,1.5553,-0.51,0.45,22.28,25790
2460422.911154,0.99889,0.00159,1.5539,0.47,-0.25,22.36,25262
2460422.911338,0.99935,0.00159,1.5523,-0.34,0.15,21.74,28890
2460422.911493,0.99873,0.00158,1.5510,-0.03,-0.28,21.63,29556
2460422.911656,0.99674,0.00158,1.5495,0.64,0.43,21.26,32284
2460422.911827,0.99886,0.00158,1.5481,-0.06,-0.35,21.50,33858
2460422.911988,1.00256,0.00158,1.5467,0.59,0.72,21.91,26304
2460422.912150,0.99967,0.00158,1.5453,-1.23,-0.29,22.01,27363
2460422.912329,0.99904,0.00157,1.5438,-0.42,0.65,21.91,31337
2460422.912485,0.99774,0.00157,1.5425,-1.97,0.01,21.18,29952
2460422.912647,0.99396,0.00156,1.5411,-1.63,-0.02,22.04,27343
2460422.912817,1.00162,0.00157,1.5397,-2.14,0.37,22.97,25389
