BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460422.896492,1.00162,0.00191,1.6953,-0.56,0.28,23.44,30785
2460422.896655,1.00206,0.00191,1.6936,0.69,0.36,23.18,25889
2460422.896817,1.00412,0.00190,1.6919,0.41,-0.77,22.85,28904
2460422.896968,0.99985,0.00189,1.6903,0.72,-0.38,22.49,30332
2460422.897118,0.99877,0.00189,1.6887,-0.13,0.61,23.07,34539
2460422.897269,0.99831,0.00189,1.6871,0.01,-0.34,23.42,26658
2460422.897420,1.00313,0.00189,1.6855,0.02,-1.11,22.95,27654
2460422.897570,0.99818,0.00188,1.6839,0.27,0.40,22.92,30721
2460422.897721,0.99773,0.00187,1.6823,0.57,-1.07,22.94,37665
2460422.897883,0.99651,0.00187,1.6806,0.47,-0.22,22.64,34987
2460422.898034,0.99609,0.00187,1.6789,-0.39,0.20,22.56,38011
2460422.898196,1.00107,0.00187,1.6773,-1.45,0.49,23.12,34365
2460422.898347,1.00008,0.00187,1.6757,-1.52,-0.18,22.71,33212
2460422.898486,0.99718,0.00186,1.6742,-1.85,-0.37,23.66,29881
2460422.898637,0.99957,0.00186,1.6727,-1.87,1.20,23.27,32054
2460422.898787,0.99643,0.00185,1.6711,-1.44,-0.37,23.08,34611
2460422.898950,1.00370,0.00186,1.6695,0.07,-0.39,22.27,30540
2460422.899112,1.00056,0.00185,1.6677,0.12,0.71,22.49,34975
2460422.899274,1.00040,0.00185,1.6661,-1.80,0.33,22.64,35860
2460422.899425,1.00109,0.00185,1.6645,0.99,0.10,22.37,32304
2460422.899576,0.99897,0.00184,1.6629,0.58,0.02,22.89,29740
2460422.899750,0.99929,0.00184,1.6612,0.12,0.32,23.95,26488
2460422.899900,1.00088,0.00184,1.6597,-0.16,0.61,22.94,37250
2460422.900051,0.99750,0.00183,1.6582,0.82,-0.17,23.11,36421
2460422.900202,0.99920,0.00183,1.6566,0.01,0.03,23.16,30367
2460422.900364,0.99696,0.00183,1.6549,1.29,0.49,22.57,34713
2460422.900515,0.99716,0.00182,1.6534,0.82,-1.00,23.69,26117
2460422.900665,1.00224,0.00183,1.6519,0.62,-0.57,22.86,34699
2460422.900816,1.00193,0.00183,1.6504,0.37,-0.25,22.29,37158
2460422.900955,0.99797,0.00182,1.6489,-0.53,-0.18,22.92,34342
2460422.901106,1.00065,0.00182,1.6474,-0.33,1.06,22.79,33443
2460422.901268,0.99746,0.00181,1.6458,-0.43,0.51,23.23,37262
2460422.901430,0.99786,0.00181,1.6443,0.06,1.72,24.07,24138
2460422.901581,1.00176,0.00181,1.6427,-1.81,-0.39,23.59,28918
2460422.901755,0.99813,0.00180,1.6410,0.09,0.75,23.73,28385
2460422.901906,1.00225,0.00181,1.6395,-1.04,0.37,24.07,26000
2460422.902056,1.00329,0.00181,1.6380,-0.47,1.34,23.64,24302
2460422.902207,1.00127,0.00180,1.6365,-0.93,0.79,23.93,26902
2460422.902393,0.99942,0.00179,1.6347,-0.31,-0.13,22.39,31997
2460422.902555,0.99896,0.00179,1.6331,0.21,0.09,22.51,35840
2460422.902706,0.99884,0.00179,1.6316,0.93,0.31,23.15,29256
2460422.902856,0.99733,0.00178,1.6301,1.06,0.50,23.92,24853
2460422.903019,0.99699,0.00178,1.6285,-1.26,-0.79,23.28,29814
2460422.903169,0.99739,0.00178,1.6271,1.48,-1.24,23.13,30384
2460422.903320,0.99831,0.00178,1.6256,1.48,0.31,23.26,28908
2460422.903471,1.00090,0.00178,1.6241,0.45,-2.28,24.27,24577
2460422.903633,0.99516,0.00177,1.6226,-0.13,1.31,22.62,28797
2460422.903795,0.99772,0.00177,1.6210,-0.35,1.13,23.59,30601
2460422.903969,0.99835,0.00177,1.6194,-0.62,-1.25,22.97,28920
2460422.904143,0.99934,0.00177,1.6177,-1.74,0.17,23.01,26806
2460422.904294,1.00071,0.00177,1.6163,-1.43,-0.42,23.51,26805
2460422.904444,0.99960,0.00176,1.6148,-1.15,-0.29,23.02,26978
2460422.904595,0.99983,0.00176,1.6133,-0.25,-0.24,22.85,29247
2460422.904757,0.99656,0.00175,1.6118,-0.65,0.81,22.41,33721
2460422.904908,0.99936,0.00175,1.6103,-0.47,-0.58,23.15,31345
2460422.905070,0.99935,0.00175,1.6089,0.72,0.63,22.52,35479
2460422.905244,0.99877,0.00175,1.6073,0.64,-0.12,23.59,30558
2460422.905395,0.99620,0.00174,1.6058,0.59,-0.58,22.88,28705
2460422.905546,0.99847,0.00174,1.6044,1.13,0.19,23.43,27633
2460422.905708,1.00150,0.00174,1.6028,-0.09,-0.99,24.04,23047
2460422.905870,0.99781,0.00173,1.6014,0.20,-0.79,24.43,23142
2460422.906021,1.00000,0.00174,1.6000,0.97,-2.31,23.35,28687
2460422.906172,1.00224,0.00174,1.5986,1.18,-0.27,22.41,28956
2460422.906369,1.00042,0.00173,1.5967,-0.58,0.73,22.65,28814
