BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460422.896481,1.00068,0.00236,1.6956,-1.79,0.21,21.87,14365
2460422.896585,1.00119,0.00236,1.6945,0.17,0.73,21.14,17206
2460422.896689,0.99719,0.00235,1.6934,-0.26,0.67,23.10,13065
2460422.896805,1.00206,0.00235,1.6922,-0.05,-0.17,22.62,13350
2460422.896910,0.99970,0.00235,1.6911,-0.52,0.09,22.61,13771
2460422.897014,0.99848,0.00234,1.6899,-0.21,0.16,21.13,18018
2460422.897118,1.00054,0.00234,1.6888,-1.13,0.67,22.30,16799
2460422.897211,0.99599,0.00233,1.6878,0.40,0.70,21.26,15704
2460422.897327,0.99815,0.00233,1.6866,0.04,-0.65,22.17,13934
2460422.897431,1.00187,0.00234,1.6855,-1.06,-0.95,22.39,13857
2460422.897524,0.99852,0.00233,1.6845,-0.34,0.79,22.32,15940
2460422.897628,1.00021,0.00233,1.6834,0.31,1.10,20.85,16051
2460422.897756,0.99493,0.00232,1.6820,0.91,-0.73,22.67,14638
2460422.897872,0.99820,0.00232,1.6809,-0.26,0.45,21.88,18117
2460422.897976,0.99669,0.00231,1.6797,-0.41,0.36,21.06,19132
2460422.898080,0.99152,0.00230,1.6786,-1.56,0.58,22.12,15816
2460422.898185,0.99768,0.00231,1.6775,-2.20,0.62,22.43,16887
2460422.898289,0.99906,0.00231,1.6765,-1.83,0.18,21.56,18462
2460422.898393,0.99661,0.00231,1.6754,-2.54,0.04,21.54,18685
2460422.898486,0.99642,0.00231,1.6743,-2.05,0.02,22.90,13837
2460422.898625,0.99976,0.00231,1.6729,-2.56,1.18,22.73,14056
2460422.898730,1.00232,0.00231,1.6719,-2.65,0.83,21.77,17040
2460422.898834,0.99734,0.00230,1.6708,-2.07,-0.04,22.09,15656
2460422.898938,1.00341,0.00231,1.6697,-0.90,-0.12,21.91,13836
2460422.899089,1.00080,0.00230,1.6682,-0.44,0.77,21.48,16578
2460422.899193,0.99894,0.00229,1.6670,-1.57,1.82,21.85,17369
2460422.899309,1.00082,0.00230,1.6659,-1.53,0.77,21.85,20077
2460422.899413,1.00419,0.00230,1.6648,0.18,0.01,21.95,14612
2460422.899518,1.00340,0.00230,1.6637,0.14,0.14,22.02,17136
2460422.899622,0.99961,0.00229,1.6626,0.07,0.76,22.59,13839
2460422.899738,1.00140,0.00229,1.6615,-0.47,0.86,22.56,14322
2460422.899842,1.00416,0.00229,1.6604,-0.11,0.52,22.94,12991
2460422.899947,0.99765,0.00228,1.6593,-0.66,1.32,22.13,18352
2460422.900051,0.99754,0.00227,1.6582,0.15,0.04,22.36,18737
2460422.900167,0.99875,0.00227,1.6571,-0.55,1.06,22.80,13861
2460422.900260,0.99282,0.00226,1.6561,-0.26,-0.07,22.23,15316
2460422.900376,0.99861,0.00227,1.6550,0.59,0.58,21.80,15963
2460422.900468,1.00000,0.00227,1.6540,0.14,0.21,22.60,15363
2460422.900573,0.99774,0.00226,1.6529,0.68,-1.26,22.33,13013
2460422.900677,0.99900,0.00226,1.6519,0.22,0.11,21.98,17788
2460422.900781,1.00043,0.00227,1.6509,0.26,0.28,22.38,15848
2460422.900874,0.99965,0.00226,1.6499,-0.20,0.58,21.55,17698
2460422.900978,0.99796,0.00226,1.6489,-0.93,0.14,22.09,16466
2460422.901083,0.99739,0.00225,1.6479,-0.89,1.26,22.03,17902
2460422.901175,0.99519,0.00225,1.6468,-1.78,1.31,22.64,15935
2460422.901280,0.99606,0.00225,1.6458,-1.08,0.81,22.51,18029
2460422.901384,1.00373,0.00226,1.6447,-1.08,1.69,23.52,11860
2460422.901500,0.99913,0.00225,1.6436,-1.28,1.81,23.44,10889
2460422.901593,1.00076,0.00225,1.6427,-2.22,-0.63,22.66,14649
2460422.901743,0.99547,0.00224,1.6413,-0.61,0.82,22.83,14160
2460422.901848,0.99798,0.00224,1.6402,-0.65,1.28,22.98,13134
2460422.901952,0.99915,0.00224,1.6392,-1.92,0.09,23.51,11843
2460422.902056,1.00391,0.00225,1.6381,-0.98,1.05,22.92,12040
2460422.902161,0.99645,0.00223,1.6370,-0.56,1.66,23.51,11298
2460422.902277,1.00128,0.00224,1.6360,-1.31,1.82,23.16,13091
2460422.902381,0.99968,0.00223,1.6349,-1.29,0.25,21.82,15089
2460422.902497,1.00150,0.00224,1.6338,0.05,0.66,22.25,14332
2460422.902590,0.99993,0.00223,1.6328,0.05,0.97,22.19,15031
2460422.902694,0.99975,0.00223,1.6318,-0.04,0.37,22.71,13014
2460422.902798,0.99566,0.00221,1.6308,1.06,0.91,22.24,14836
2460422.902914,0.99701,0.00222,1.6297,0.15,0.75,22.69,11569
2460422.903019,0.99495,0.00221,1.6286,-1.64,-0.47,21.78,14463
2460422.903134,0.99504,0.00221,1.6275,-0.55,-1.08,22.50,14694
2460422.903239,0.99860,0.00221,1.6265,1.88,0.14,22.78,11811
2460422.903343,1.00051,0.00222,1.6256,1.10,0.50,21.64,14434
2460422.903447,0.99676,0.00221,1.6246,0.04,-1.94,22.59,13370
2460422.903563,1.00147,0.00222,1.6234,0.26,-0.73,23.00,12916
2460422.903668,0.99636,0.00220,1.6223,-0.59,1.80,21.32,15662
2460422.903784,0.99556,0.00220,1.6213,-1.06,1.95,22.77,14019
2460422.903946,0.99828,0.00220,1.6197,-1.42,-0.32,22.06,15671
2460422.904050,0.99514,0.00219,1.6187,-2.03,-1.34,22.08,14669
2460422.904155,1.00148,0.00220,1.6177,-2.36,0.36,22.38,12468
2460422.904247,0.99732,0.00219,1.6168,-0.78,0.07,22.36,13915
2460422.904386,0.99512,0.00219,1.6155,-1.88,0.22,23.54,11448
2460422.904491,0.99785,0.00219,1.6145,-2.18,-0.15,22.42,13284
2460422.904595,0.99988,0.00219,1.6135,-0.89,0.03,22.40,13688
2460422.904699,0.99704,0.00218,1.6125,-1.73,1.37,22.69,14954
2460422.904827,1.00051,0.00219,1.6113,-1.54,1.40,21.94,17230
2460422.904931,1.00026,0.00219,1.6103,-1.00,-0.50,22.25,14099
2460422.905024,0.99638,0.00217,1.6094,-0.57,1.02,22.73,15839
2460422.905140,1.00112,0.00218,1.6083,0.86,1.25,22.25,17127
2460422.905267,0.99937,0.00218,1.6071,0.42,0.08,22.32,13828
2460422.905383,0.99638,0.00217,1.6060,0.31,-0.78,23.52,10316
2460422.905488,1.00021,0.00218,1.6051,-0.02,-1.09,22.22,16503
2460422.905638,0.99946,0.00217,1.6036,-0.59,-0.45,22.87,13057
2460422.905743,1.00176,0.00218,1.6026,-0.27,-1.43,23.04,9605
2460422.905859,0.99653,0.00216,1.6016,-0.60,-0.17,23.38,10783
2460422.905963,0.99986,0.00217,1.6006,-0.04,-1.47,22.60,12678
2460422.906079,0.99902,0.00216,1.5995,0.44,-1.63,22.76,15407
2460422.906195,0.99853,0.00216,1.5985,0.63,-0.18,22.34,15362
2460422.906288,0.99720,0.00216,1.5975,-0.09,-0.33,22.80,11574
2460422.906403,0.99864,0.00216,1.5965,-0.99,1.30,21.70,14689
2460422.906531,0.99476,0.00215,1.5953,-1.84,-0.34,21.09,18139
2460422.906635,1.00436,0.00216,1.5944,-2.44,-0.02,22.20,17554
2460422.906740,1.00056,0.00215,1.5934,-1.28,0.12,22.02,15898
2460422.906855,1.00182,0.00215,1.5924,-1.17,-0.09,21.80,14662
2460422.906960,1.00138,0.00216,1.5914,-3.26,-0.67,23.21,11584
2460422.907064,0.99686,0.00214,1.5904,-2.81,0.55,24.49,9533
2460422.907168,0.99413,0.00213,1.5895,-3.44,0.53,22.43,13488
2460422.907296,0.99448,0.00213,1.5883,-1.21,0.73,23.27,13207
2460422.907412,1.00134,0.00214,1.5873,-0.49,0.56,22.55,15609
2460422.907505,0.99650,0.00213,1.5863,-2.52,-1.05,22.65,13475
2460422.907621,0.99506,0.00213,1.5853,0.06,0.89,21.77,17719
2460422.907725,1.00336,0.00214,1.5843,0.35,0.49,22.41,15357
2460422.907841,0.99664,0.00213,1.5834,0.89,1.08,22.86,15026
2460422.907957,1.00170,0.00213,1.5822,-0.03,0.29,22.90,14643
2460422.908061,0.99823,0.00213,1.5813,-0.06,0.09,22.12,18237
2460422.908166,1.00245,0.00213,1.5804,-0.31,0.65,22.61,15670
2460422.908258,0.99731,0.00212,1.5795,-0.14,0.50,21.94,17986
2460422.908363,0.99317,0.00211,1.5785,-0.04,0.55,21.80,17987
2460422.908467,0.99645,0.00212,1.5776,0.40,-0.16,22.36,15023
2460422.908595,1.00159,0.00212,1.5766,0.25,0.11,22.45,13269
2460422.908699,0.99875,0.00212,1.5756,-0.20,0.28,21.98,17812
2460422.908838,0.99983,0.00212,1.5744,0.10,-0.07,21.71,16156
2460422.908942,0.99960,0.00211,1.5734,-0.25,0.36,22.28,17065
2460422.909047,1.00107,0.00212,1.5724,-0.23,0.42,23.13,12086
2460422.909174,0.99615,0.00210,1.5713,0.99,1.53,22.11,16262
2460422.909278,0.99802,0.00210,1.5704,-0.78,2.21,21.67,16172
2460422.909394,0.99889,0.00211,1.5694,-1.01,0.70,21.94,15375
2460422.909510,0.99896,0.00210,1.5684,-0.87,-0.26,22.27,13335
2460422.909615,0.99842,0.00210,1.5674,-1.73,-0.05,21.95,18751
2460422.909719,0.99782,0.00210,1.5665,-2.89,1.71,22.14,13608
2460422.909823,0.99685,0.00209,1.5656,-3.43,1.56,22.31,14324
2460422.909928,0.99604,0.00209,1.5647,0.42,1.27,22.11,13715
2460422.910020,1.00132,0.00210,1.5638,-1.31,0.40,22.23,15300
