BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.730368,1.00189,0.00122,1.5034,-0.54,0.37,23.98,16003
2460660.730554,1.00188,0.00122,1.5017,2.52,0.03,23.56,15738
2460660.730728,0.99872,0.00121,1.4999,0.43,-0.69,23.49,16797
2460660.730902,0.99992,0.00121,1.4982,1.57,-0.32,23.60,16463
2460660.731087,0.99812,0.00121,1.4965,2.21,-0.64,23.48,17656
2460660.731261,1.00083,0.00121,1.4948,2.84,0.58,23.38,18520
2460660.731435,1.00256,0.00121,1.4930,2.13,0.16,24.17,16664
2460660.731620,0.99648,0.00120,1.4913,2.20,1.07,23.96,17826
2460660.731794,1.00013,0.00120,1.4896,0.79,-0.12,23.73,16925
2460660.731980,1.00044,0.00120,1.4879,0.72,-0.30,23.10,19016
2460660.732154,1.00014,0.00120,1.4862,-1.03,-0.24,23.70,16918
2460660.732327,1.00061,0.00120,1.4846,0.04,-0.85,24.32,15761
2460660.732513,1.00269,0.00120,1.4829,0.55,-0.22,24.34,16523
2460660.732687,1.00370,0.00120,1.4812,2.39,-1.36,23.92,15805
2460660.732861,1.00064,0.00119,1.4795,2.78,1.61,24.02,16289
2460660.733046,1.00342,0.00119,1.4779,1.68,0.15,23.03,18888
2460660.733220,1.00292,0.00119,1.4762,1.84,-0.14,22.76,19110
2460660.733441,1.00278,0.00119,1.4741,0.83,-0.43,23.59,15935
2460660.733615,1.00012,0.00119,1.4725,0.59,-0.87,23.52,16511
2460660.733800,1.00470,0.00119,1.4708,0.57,0.50,24.08,15132
2460660.733974,1.00180,0.00119,1.4692,0.88,1.18,24.01,15669
2460660.734148,1.00274,0.00119,1.4676,1.17,-0.85,24.96,16286
2460660.734334,1.00121,0.00119,1.4660,-0.90,-0.73,25.53,13414
2460660.734508,0.99809,0.00119,1.4643,-0.52,-1.50,24.79,13271
2460660.734682,0.99867,0.00118,1.4627,2.50,-0.01,25.81,12270
2460660.734868,1.00216,0.00119,1.4611,1.79,-0.35,25.49,14081
2460660.735042,0.99999,0.00118,1.4595,2.87,0.22,24.66,14870
2460660.735227,1.00321,0.00118,1.4579,3.57,-0.21,24.19,13703
2460660.735401,0.99935,0.00118,1.4563,0.73,0.66,25.18,12938
2460660.735575,1.00033,0.00118,1.4547,1.08,-0.64,24.33,13363
2460660.735761,1.00089,0.00118,1.4531,1.18,-0.19,25.10,11871
2460660.735935,1.00042,0.00118,1.4515,2.08,1.40,24.00,13034
2460660.736109,1.00111,0.00117,1.4499,0.99,0.67,24.19,13440
2460660.736294,1.00052,0.00118,1.4484,0.26,-0.44,25.61,11643
2460660.736469,1.00189,0.00117,1.4468,-0.67,0.30,23.66,13725
2460660.736643,0.99998,0.00117,1.4452,1.56,-0.80,23.51,14117
2460660.736828,1.00160,0.00117,1.4437,-0.03,1.03,25.02,13061
2460660.737002,1.00097,0.00116,1.4421,1.69,-1.40,22.73,15690
2460660.737176,0.99779,0.00116,1.4405,1.34,-0.85,23.41,15218
2460660.737350,1.00246,0.00117,1.4390,4.32,-0.27,24.60,13595
2460660.737536,1.00128,0.00116,1.4375,0.36,1.00,24.73,13090
2460660.737710,1.00130,0.00116,1.4359,1.73,1.14,23.34,15637
2460660.737896,1.00007,0.00116,1.4344,1.28,-0.78,25.97,14648
2460660.738069,1.00213,0.00115,1.4329,0.59,0.07,22.84,17501
2460660.738243,0.99943,0.00115,1.4314,0.20,2.00,23.19,17310
2460660.738429,0.99946,0.00115,1.4299,2.19,0.83,23.27,17683
2460660.738603,1.00401,0.00115,1.4283,2.23,0.15,22.90,18836
2460660.738777,1.00232,0.00115,1.4268,-1.32,0.01,22.32,19028
2460660.738998,1.00127,0.00114,1.4250,-1.06,-0.73,22.50,19243
2460660.739172,1.00309,0.00114,1.4235,1.98,-1.87,22.17,19260
2460660.739346,1.00035,0.00114,1.4221,1.86,-1.78,22.45,19802
2460660.739531,1.00435,0.00114,1.4206,2.60,0.20,22.74,18861
2460660.739705,0.99931,0.00114,1.4191,2.54,-0.24,22.27,18510
2460660.739879,1.00155,0.00114,1.4176,1.76,0.21,21.68,21319
2460660.740065,0.99936,0.00113,1.4161,0.43,0.74,22.69,21206
2460660.740239,1.00229,0.00114,1.4147,0.65,-0.57,22.54,19240
2460660.740413,1.00357,0.00114,1.4132,1.45,-0.10,22.45,19955
2460660.740599,1.00041,0.00113,1.4117,0.69,0.43,22.63,19059
2460660.740773,1.00192,0.00113,1.4103,0.13,-0.66,22.75,18132
2460660.740958,1.00086,0.00113,1.4088,0.17,-1.08,23.31,15687
2460660.741144,1.00461,0.00115,1.4073,-0.01,2.03,26.19,11325
2460660.741318,1.00000,0.00114,1.4059,-0.20,-2.04,24.71,13016
2460660.741492,1.00270,0.00115,1.4044,0.97,-0.06,25.55,11416
2460660.741677,1.00308,0.00114,1.4030,2.66,-2.56,24.21,13292
2460660.741886,1.00051,0.00114,1.4013,2.56,0.44,25.32,12295
2460660.742060,1.00147,0.00114,1.3999,1.73,1.61,25.79,11342
2460660.742245,0.99915,0.00113,1.3984,-0.55,-0.57,28.70,12974
2460660.742605,0.99968,0.00114,1.3956,3.20,-2.51,25.60,11639
2460660.742779,1.00236,0.00113,1.3942,1.65,-0.08,25.62,12388
2460660.742952,1.00022,0.00114,1.3928,-1.25,2.20,25.35,12557
2460660.743497,1.00211,0.00113,1.3886,-1.56,-0.51,24.84,12204
2460660.743671,1.00008,0.00113,1.3873,1.89,-1.31,26.30,11360
2460660.743845,0.99826,0.00112,1.3859,2.02,-0.58,24.37,13191
2460660.744030,1.00073,0.00113,1.3845,2.93,-0.17,24.03,14033
2460660.744204,1.00111,0.00113,1.3831,4.14,1.24,26.57,11527
2460660.744378,1.00076,0.00112,1.3817,1.36,-1.29,23.87,13453
2460660.744564,1.00262,0.00113,1.3804,1.67,0.47,27.08,11810
2460660.744737,0.99989,0.00112,1.3790,1.73,0.77,26.41,12015
2460660.744923,1.00140,0.00111,1.3776,0.04,0.71,23.50,15860
2460660.745097,1.00078,0.00111,1.3763,0.21,0.28,23.15,15864
2460660.745271,1.00050,0.00111,1.3749,-1.88,0.75,24.43,14352
2460660.745456,1.00150,0.00112,1.3736,-0.91,-2.60,25.12,12673
2460660.745630,1.00166,0.00112,1.3722,-0.72,-0.10,24.93,14233
2460660.745804,1.00093,0.00111,1.3709,-0.54,-0.52,24.55,12579
2460660.745989,1.00325,0.00111,1.3696,-0.41,-0.52,23.82,15623
2460660.746163,0.99875,0.00110,1.3683,1.26,0.25,23.17,18392
2460660.746337,1.00246,0.00110,1.3669,3.90,0.09,23.13,17680
2460660.746523,1.00028,0.00111,1.3656,1.80,-3.07,24.66,13923
2460660.746696,1.00091,0.00110,1.3643,-0.46,1.31,24.58,14159
2460660.746870,0.99975,0.00110,1.3630,-0.58,1.07,23.55,15825
2460660.747056,0.99897,0.00110,1.3617,2.98,0.54,24.49,14184
