BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.730387,1.00176,0.00102,1.5033,-0.91,0.18,23.75,24854
2460660.730587,1.00108,0.00102,1.5013,0.96,0.10,22.43,23588
2460660.730793,1.00052,0.00102,1.4993,-0.10,0.70,22.36,23072
2460660.730993,0.99975,0.00102,1.4974,-0.58,-0.46,22.38,27543
2460660.731192,1.00225,0.00102,1.4955,0.35,0.58,22.09,26088
2460660.731392,1.00440,0.00102,1.4935,0.68,-0.07,22.88,23813
2460660.731599,0.99713,0.00101,1.4916,-0.09,0.80,22.69,24270
2460660.731798,0.99948,0.00101,1.4897,-1.29,0.07,22.53,25715
2460660.731998,0.99924,0.00101,1.4877,-1.39,0.26,22.11,26512
2460660.732203,1.00059,0.00101,1.4858,-2.13,-0.49,22.35,24168
2460660.732403,1.00246,0.00101,1.4839,0.83,-0.53,23.02,22781
2460660.732602,1.00198,0.00100,1.4820,-0.63,0.63,22.96,22081
2460660.732802,0.99997,0.00100,1.4801,0.86,-0.41,22.59,21924
2460660.733008,1.00214,0.00100,1.4782,0.21,0.49,22.39,26134
2460660.733207,1.00085,0.00100,1.4764,-0.47,0.89,21.58,28325
2460660.733457,1.00477,0.00100,1.4740,-0.76,0.10,22.61,24007
2460660.733656,0.99862,0.00099,1.4722,0.87,0.53,22.49,23737
2460660.733856,1.00348,0.00100,1.4703,-0.69,0.93,22.36,24034
2460660.734063,1.00194,0.00099,1.4684,-0.13,0.41,23.30,23366
2460660.734263,1.00315,0.00099,1.4666,-2.60,-0.28,23.37,21158
2460660.734462,0.99860,0.00099,1.4648,-1.27,0.00,23.74,16999
2460660.734662,0.99967,0.00099,1.4629,0.71,-0.04,24.45,19224
2460660.734869,1.00227,0.00099,1.4611,-0.12,-0.65,24.22,18903
2460660.735068,0.99960,0.00098,1.4593,1.49,0.24,22.98,21979
2460660.735268,1.00333,0.00098,1.4575,0.37,0.11,23.90,17785
2460660.735467,1.00039,0.00098,1.4557,0.01,-0.29,22.67,20603
2460660.735673,1.00204,0.00098,1.4539,-0.06,2.57,23.78,17608
2460660.735873,1.00048,0.00098,1.4521,0.39,1.17,23.30,17738
2460660.736115,0.99987,0.00098,1.4499,-1.40,1.35,22.82,19493
2460660.736314,1.00118,0.00098,1.4482,-0.94,0.23,23.36,17181
2460660.736521,1.00182,0.00097,1.4464,-0.91,-0.30,22.20,18949
2460660.736720,1.00278,0.00097,1.4446,-1.30,1.10,22.48,19741
2460660.736920,1.00186,0.00097,1.4428,-0.03,1.23,22.77,20300
2460660.737126,0.99758,0.00097,1.4411,0.46,-1.40,21.89,22720
2460660.737326,0.99949,0.00097,1.4393,2.94,-0.20,22.96,18597
2460660.737525,1.00109,0.00097,1.4376,0.93,0.86,23.79,17409
2460660.737731,1.00174,0.00097,1.4359,-0.35,1.19,21.94,21691
2460660.737937,0.99992,0.00096,1.4341,-0.31,0.06,23.08,21495
2460660.738137,0.99917,0.00096,1.4324,-0.38,0.44,20.98,29408
2460660.738336,1.00297,0.00096,1.4306,-0.65,1.55,21.73,24889
2460660.738535,1.00195,0.00096,1.4289,0.63,0.62,21.19,29088
2460660.738742,1.00224,0.00096,1.4272,-1.00,0.49,21.25,28906
2460660.738941,1.00164,0.00096,1.4255,-2.48,0.67,21.79,24884
2460660.739140,1.00017,0.00095,1.4238,-0.30,-1.49,21.11,27720
2460660.739346,1.00002,0.00095,1.4221,0.74,-0.15,21.02,29481
2460660.739546,1.00134,0.00095,1.4204,0.59,0.37,20.81,30585
2460660.739753,0.99968,0.00095,1.4188,0.57,0.90,20.73,29492
2460660.739952,1.00395,0.00095,1.4171,0.48,0.24,20.74,30777
2460660.740151,1.00071,0.00095,1.4154,0.02,0.95,21.11,32408
2460660.740357,1.00041,0.00095,1.4138,1.18,-0.18,21.32,29846
2460660.740557,1.00191,0.00095,1.4121,-0.46,0.78,20.87,29262
2460660.740757,1.00078,0.00094,1.4105,-1.18,0.33,21.63,26932
2460660.740978,1.00169,0.00094,1.4087,-2.44,0.83,22.23,21538
2460660.741177,1.00358,0.00095,1.4070,-2.08,2.08,24.25,16065
2460660.741584,0.99955,0.00094,1.4038,-0.46,-1.75,22.26,21269
2460660.741783,1.00161,0.00094,1.4022,1.62,0.68,22.47,21102
2460660.741982,1.00221,0.00094,1.4005,0.32,0.07,23.01,17224
2460660.742189,1.00172,0.00094,1.3989,0.04,1.25,25.31,16529
2460660.742388,0.99965,0.00094,1.3973,-1.40,3.06,24.99,16198
2460660.742588,1.00022,0.00093,1.3957,2.07,-2.15,24.14,16196
2460660.742795,1.00171,0.00093,1.3941,-0.22,0.88,24.12,18695
2460660.743613,1.00028,0.00093,1.3877,-0.92,1.02,24.67,16907
2460660.743812,0.99803,0.00093,1.3862,0.66,-0.17,23.41,18141
