BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.730364,1.00156,0.00120,1.5035,-0.28,-0.58,22.56,25207
2460660.730521,1.00187,0.00120,1.5020,2.48,-0.13,21.82,25138
2460660.730677,0.99921,0.00120,1.5005,-1.12,-0.95,21.30,27418
2460660.730834,0.99887,0.00120,1.4989,-0.85,0.22,22.41,24013
2460660.730984,1.00211,0.00120,1.4975,0.17,-0.78,21.87,27735
2460660.731141,1.00256,0.00120,1.4960,0.70,-0.93,21.55,28743
2460660.731298,1.00201,0.00119,1.4945,-0.29,-0.27,22.15,28680
2460660.731454,1.00414,0.00119,1.4929,1.57,-0.29,22.88,25951
2460660.731611,0.99451,0.00118,1.4914,1.24,0.73,22.26,27294
2460660.731768,0.99741,0.00118,1.4899,0.03,-0.43,22.00,25606
2460660.731925,1.00045,0.00118,1.4884,-1.08,0.22,21.47,28109
2460660.732081,1.00212,0.00118,1.4869,-2.03,-0.13,21.72,27436
2460660.732237,1.00060,0.00118,1.4855,-0.56,-0.78,22.02,25495
2460660.732394,1.00478,0.00118,1.4840,1.64,-1.34,22.41,25457
2460660.732550,1.00157,0.00118,1.4825,-0.26,1.21,22.07,27074
2460660.732707,1.00316,0.00118,1.4810,1.04,-2.56,21.97,26330
2460660.732857,0.99813,0.00117,1.4796,2.07,0.49,22.65,25445
2460660.733013,1.00361,0.00118,1.4782,-0.61,-0.00,21.64,28259
2460660.733170,1.00045,0.00117,1.4767,0.69,0.26,21.57,29053
2460660.733326,1.00547,0.00117,1.4752,0.27,1.55,21.71,26818
2460660.733483,1.00308,0.00117,1.4738,0.42,-0.71,22.51,24697
2460660.733640,1.00016,0.00117,1.4724,1.36,0.01,21.91,26143
2460660.733790,1.00575,0.00117,1.4709,0.32,1.34,22.37,23115
2460660.733947,1.00073,0.00116,1.4695,-0.90,-0.27,22.11,26277
2460660.734104,1.00243,0.00116,1.4681,1.46,-0.70,22.83,25874
2460660.734254,1.00478,0.00117,1.4667,-1.67,-0.48,23.01,22190
2460660.734411,1.00129,0.00116,1.4652,-0.32,0.22,24.05,18800
2460660.734568,0.99966,0.00116,1.4638,-0.33,-1.61,23.42,21289
2460660.734725,1.00026,0.00116,1.4624,2.52,0.39,24.34,19949
2460660.734881,0.99938,0.00115,1.4610,-0.77,-1.42,23.86,21798
2460660.735038,0.99860,0.00115,1.4596,1.57,-0.07,22.88,22403
2460660.735195,1.00463,0.00115,1.4582,2.50,-0.91,21.92,22208
2460660.735344,0.99988,0.00115,1.4568,0.64,0.74,23.36,20179
2460660.735501,1.00007,0.00115,1.4554,0.65,-0.70,21.86,25121
2460660.735657,1.00214,0.00115,1.4540,1.27,2.05,23.51,19750
2460660.735814,1.00085,0.00115,1.4526,0.81,-0.25,22.45,22131
2460660.735964,1.00018,0.00114,1.4512,0.24,1.37,22.35,21158
2460660.736120,1.00171,0.00114,1.4499,0.36,0.16,22.70,20512
2460660.736277,1.00232,0.00115,1.4485,-0.28,-1.34,24.02,17540
2460660.736434,1.00077,0.00114,1.4471,-1.11,0.67,23.24,19803
2460660.736590,0.99951,0.00114,1.4458,-0.31,-2.26,21.67,22307
2460660.736790,1.00466,0.00114,1.4440,-1.88,0.22,22.42,20455
2460660.736946,1.00228,0.00114,1.4426,0.27,-0.55,21.34,24545
