BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460660.730426,1.00330,0.00080,1.5030,-0.23,-0.43,21.66,37214
2460660.730705,1.00217,0.00080,1.5003,0.01,0.20,21.23,38192
2460660.730971,0.99963,0.00080,1.4977,0.15,0.23,21.71,40769
2460660.731238,1.00241,0.00080,1.4951,0.46,0.40,21.61,42195
2460660.731504,0.99991,0.00079,1.4925,-0.11,-0.13,22.33,36627
2460660.731783,1.00042,0.00079,1.4899,-0.90,0.30,21.80,37784
2460660.732049,1.00062,0.00079,1.4873,-2.30,-0.26,21.36,40204
2460660.732315,1.00192,0.00079,1.4848,-0.60,-1.05,22.17,35667
2460660.732582,1.00153,0.00079,1.4822,-1.41,0.41,22.80,34471
2460660.732849,0.99838,0.00078,1.4797,0.26,1.10,22.72,31298
2460660.733127,1.00189,0.00078,1.4772,-0.27,0.63,21.25,44220
2460660.733394,1.00418,0.00078,1.4747,-0.74,0.98,21.46,39090
2460660.733661,0.99994,0.00078,1.4722,-0.16,0.30,22.11,37548
2460660.733928,1.00262,0.00078,1.4697,-2.02,1.26,22.03,37070
2460660.734206,1.00326,0.00078,1.4673,-1.68,-0.51,22.74,34329
2460660.734473,0.99931,0.00078,1.4648,-0.92,-1.14,23.57,26578
2460660.734740,1.00035,0.00077,1.4623,-0.20,0.53,24.20,27601
2460660.735007,1.00144,0.00077,1.4599,0.53,0.05,22.60,33919
2460660.735274,1.00101,0.00077,1.4574,0.53,-0.15,23.01,27820
2460660.735552,1.00140,0.00077,1.4551,-0.93,-0.34,22.52,28692
2460660.735819,1.00007,0.00077,1.4527,-0.66,0.33,22.96,25644
2460660.736086,0.99873,0.00077,1.4503,-0.64,0.78,21.95,30199
2460660.736352,1.00081,0.00077,1.4479,-2.48,0.45,23.49,24995
2460660.736619,1.00154,0.00077,1.4455,-0.24,-0.20,21.81,28486
2460660.736898,1.00246,0.00076,1.4432,-1.19,0.73,22.66,28321
2460660.737165,0.99888,0.00076,1.4408,0.47,-1.16,21.56,33214
2460660.737431,1.00099,0.00076,1.4385,1.54,0.53,23.58,26064
2460660.737698,1.00260,0.00076,1.4362,-0.97,1.12,21.47,33160
2460660.737965,1.00111,0.00076,1.4338,-0.79,0.37,21.90,34010
2460660.738243,1.00036,0.00076,1.4316,-1.57,0.69,21.26,39298
2460660.738510,1.00220,0.00076,1.4293,0.33,0.77,20.83,45383
2460660.738777,1.00361,0.00076,1.4270,-2.21,0.72,20.56,44698
2460660.739055,0.99996,0.00075,1.4246,-1.09,-0.98,20.86,40787
2460660.739322,0.99970,0.00075,1.4224,0.10,-0.71,20.80,43676
2460660.739589,1.00088,0.00075,1.4202,0.63,0.07,20.49,47441
2460660.739856,1.00115,0.00075,1.4179,0.62,1.28,20.39,45559
2460660.740123,1.00106,0.00075,1.4157,0.03,0.74,20.34,49238
